id,name,category,city,country,latitude,longitude,website,email,phone,social,verified
17,AURA CAMEROUN MVOG-MBI,Other,Yaoundé,Cameroon,3.8485193,11.5208405,,,,,False
18,Aura - Agence Tsinga,Other,Yaoundé,Cameroon,3.8854897,11.5026163,,,+237 2 43 84 82 68,,False
19,Aura cameroun,Other,Douala,Cameroon,4.0472722,9.6995031,http://auracameroon.com/,,+237 6 50 64 61 56,,False
20,Ndara Ti Beafrika,Other,Bangui,Central African Republic,4.3608178,18.5764239,http://www.ndaratibeafrika.com/,,+236 72 42 89 48,,False
21,Hotel Aurora,Accommodation,N'Djamena,Chad,12.0955983,15.068264,,,,,False
22,Aura Beauty,Health & Wellbeing,Kinshasa,Democratic Republic of the Congo,-4.3016759,15.3089253,https://aurabeautycongo.com/,,+243 900 233 337,,False
23,Aurora shop Kinshasa,Other,Kinshasa,Democratic Republic of the Congo,-4.3066806,15.2924592,,,+243 999 905 780,,False
24,Luano International Airport,Other,Lubumbashi,Democratic Republic of the Congo,-11.5888131,27.5314761,http://www.rva.cd/,,+243 972 244 415,,False
25,Centre des Impôts de Lubumbashi,Other,Lubumbashi,Democratic Republic of the Congo,-11.6712185,27.4829235,,,,,False
26,Aura Assinie,Other,Assinie,Côte d'Ivoire,5.1598195,-3.4743294,,,+225 07 97 70 9201,,False
27,Aura imprimerie,Other,Abidjan,Côte d'Ivoire,5.396591600000001,-3.9925529,,,+225 07 87 86 1743,,False
28,Aurore Company,Other,Abidjan,Côte d'Ivoire,5.406151299999999,-3.9933041,,,+225 07 08 09 8524,,False
29,Voodoo Group,Other,Abidjan,Côte d'Ivoire,5.3539737,-3.9805542,,,+225 27 22 4 37530,,False
30,AURORE SERVICES,Other,Abidjan,Côte d'Ivoire,5.3599517,-4.0082563,,,+225 07 98 32 6974,,False
31,Golden Africa Djibouti,Other,Balbala,Djibouti,11.5779889,43.0763392,,,+253 77 85 32 36,,False
32,Djibouti Ayla Grand Hotel,Accommodation,Djibouti,Djibouti,11.5944787,43.1301513,https://www.aylahotels.com/,,+253 21 31 81 11,,False
33,Aura,Other,,Egypt,30.024084,31.2168882,https://www.fourseasons.com/cairofr/dining/restaurants/aura/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-caf-fab-mid-seo-na&utm_content=na-na&utm_term=na,,+20 2 35672111,,False
34,Aura Systems,Other,,Egypt,30.1102497,31.37743159999999,https://aura.llc/,,+20 12 23771884,,False
35,Aura Cafe,Other,,Egypt,30.0650341,31.4245354,,,+20 12 82277696,,False
36,Aura,Other,,Egypt,30.10281179999999,31.3687372,,,+20 2 22688708,,False
37,Aura Air-Conditioner Egypt,Other,,Egypt,30.0635474,31.2198432,https://www.aura-egypt.com/,,+20 12 11971855,,False
38,Aura Real Estate,Cities & Developments,,Egypt,31.1981468,29.9108094,https://www.aura-org.com/,,+20 11 03930555,,False
39,Aura Health Solutions,Health & Wellbeing,,Egypt,31.2248281,29.9388757,https://www.aurahealth.ae/,,+20 3 5444468,,False
40,Asmara,Other,Asmara,Eritrea,15.3317304,38.9300394,,,,,False
41,AuraHut Co.,Other,Manzini,Eswatini,-26.4956988,31.3824814,,,+268 7622 3903,,False
42,Manzini Lifestyle Center,Other,Manzini,Eswatini,-26.4939753,31.38539,,,+268 2505 7498,,False
43,Aarohim investments Pty Ltd.,Other,Manzini,Eswatini,-26.495652,31.3817247,,,+268 7970 0058,,False
44,Aura አውራ,Other,Addis Ababa,Ethiopia,8.990827099999999,38.7940982,,,+251 91 007 6069,,False
45,Aurora Coworking,Other,Addis Ababa,Ethiopia,8.9914008,38.7731967,https://auroraaddis.com/,,+251 97 094 5940,,False
46,AURADORO CROSS-CULTURAL FASHION,Other,አዲስ አበባ,Ethiopia,8.998871399999999,38.7399464,,,+251 94 662 6435,,False
47,Aura Clubhouse - Restaurant Lounge & Events Space,Health & Wellbeing,Accra,Ghana,5.6016453,-0.1428903,http://www.aura233.com/,,+233 53 046 3043,,False
48,Aura Interior Ghana,Other,Atico,Ghana,5.5806844,-0.24551,,,+233 26 758 8288,,False
49,Aura Cantonments,Other,Accra,Ghana,5.5780631,-0.1629426,http://www.cornerstonedevelopmentsgh.com/,,+233 55 858 0000,,False
50,Aura Design Studio,Creative Industries,Accra,Ghana,5.635004700000001,-0.1450502,http://www.auragh.studio/,,+233 59 770 2468,,False
51,Auratress Hair & Beauty,Health & Wellbeing,Accra,Ghana,5.611587600000001,-0.2938772,https://wighub19.wixsite.com/auratresshairnbeauty,,+233 55 108 7556,,False
52,AFRIAURA,Other,Tema,Ghana,5.736274799999999,0.0359807,https://www.afriaura.shop/,,+233 59 282 4705,,False
53,Aurora Ghana Sea Food,Other,Accra,Ghana,5.5570309,-0.1762077,http://auroragh.com/,,+233 30 278 9799,,False
54,The Aura Restaurant,Other,Nairobi,Kenya,-1.29314,36.7899019,,,+254 112 015180,,False
55,Aura Publishers,Other,Nairobi,Kenya,-1.286515,36.825748,,,+254 722 405729,,False
56,Aura Trading Limited,Other,Nairobi,Kenya,-1.3061561,36.8387596,http://www.auratrading.co.ke/,,+254 712 814730,,False
57,Aura Apartments,Creative Industries,Nairobi,Kenya,-1.2650677,36.8194097,,,,,False
58,AURA HOMES DESIGN,Creative Industries,Nairobi,Kenya,-1.2283472,36.8037317,https://aurahomes.org/,,+254 707 515151,,False
59,Aura Safira Consulting Limited,Other,Nairobi,Kenya,-1.3003869,36.8196524,http://aurasafira.co.ke/,,+254 20 4402973,,False
60,Auradi Empire Studio,Creative Industries,Mombasa,Kenya,-4.0510317,39.685301,https://www.behance.net/Auradiempire,,+254 708 818887,,False
61,A Plus ( A+ ) Boutique & Home Appliances .,Other,Monrovia,Liberia,6.271729,-10.7410887,,,+231 77 511 7799,,False
62,ERA Supermarket,Other,Monrovia,Liberia,6.283360399999999,-10.7680979,,,+231 55 517 1699,,False
63,AURA Restaurant - Lounge Bar,Event Management,Antananarivo,Madagascar,-18.8759006,47.5201315,,,,,False
64,Wathu Group Ltd,Other,Lilongwe,Malawi,-13.977563,33.7739908,http://wathugroup.com/,,,,False
65,Latitude 13 Degrees,Health & Wellbeing,Lilongwe,Malawi,-13.9298061,33.7966444,http://www.13.thelatitudehotels.com/,,+265 999 97 59 59,,False
66,ORABANK Mauritanie,Other,Nouakchott,Mauritania,18.0899995,-15.9775987,http://www.orabank.net/fr/filiale/mauritanie,,+222 45 29 19 00,,False
67,Aura Institute Of Business And Hospitality,Other,Quatre Bornes,Mauritius,-20.2418916,57.4895998,,,+230 5889 9000,,False
68,Aura Beauty & Spa,Health & Wellbeing,Casablanca,Morocco,33.59254,-7.640368499999999,,,+212 643-472347,,False
69,Aura,Other,Dar-el-Beida,Morocco,33.543286,-7.639724,,,+212 5222-13475,,False
70,aura beauty centre,Health & Wellbeing,Casablanca,Morocco,33.6004897,-7.5775887,,,+212 711-183488,,False
71,Riad L'Heure d'Eté,Other,Marrakech,Morocco,31.6239691,-7.9882655,https://www.lheure-dete.com/?utm_source=local&utm_medium=organic&utm_campaign=GMB,,+212 525-614327,,False
72,La Sultana,Health & Wellbeing,Marrakesh,Morocco,31.6168679,-7.9891879,http://www.lasultanahotels.com/,,+212 5243-88008,,False
73,AnaYela,Other,Marrakesh,Morocco,31.6408832,-7.9891315,https://www.anayela.com/,,+212 5243-86969,,False
74,Riad Luciano Hotel & SPA,Health & Wellbeing,Marrakesh,Morocco,31.6323023,-7.991936399999999,https://www.riadluciano.com/,,+212 637-226060,,False
75,AURA Group,Other,Maputo,Mozambique,-25.9642498,32.5870086,https://www.auragroup.co.mz/,,+258 87 600 1101,,False
76,"Water Regulatory Authority, Public Institute",Other,Maputo,Mozambique,-25.9668394,32.5834078,http://aura.org.mz/,,+258 21 312 825,,False
77,Pestana Rovuma,Health & Wellbeing,Maputo,Mozambique,-25.968671,32.575287,https://www.pestana.com/en/hotel/pestana-rovuma?utm_campaign=pestana-rovuma-partoo&utm_medium=organicsearch,,+258 21 305 000,,False
78,Aura Lounge,Event Management,Abuja,Nigeria,9.073492500000002,7.415990799999999,http://www.auraabuja.com/,,+234 810 931 9393,,False
79,Aura by Transcorp Hotels,Accommodation,Abuja,Nigeria,9.0777326,7.4958524,http://aura.transcorphotels.com/,,+234 201 343 4499,,False
80,Aura Clothing Nigeria,Other,Abuja,Nigeria,8.9900121,7.4596454,,,+234 815 300 4558,,False
81,Aura,Other,Lagos,Nigeria,6.6039012,3.3829222,https://aura.ng/,,+234 814 625 7163,,False
82,Aura Agro Allied Limited,Other,Lagos,Nigeria,6.4788967,3.32527,,,,,False
83,AURA FROZEN FOODS,Other,WAREWA AREPO,Nigeria,6.6782661,3.4164494,,,+234 802 838 5532,,False
84,Thyaura,Other,Lagos,Nigeria,6.561433399999999,3.3683648,,,,,False
85,Aura Cosmetics,Other,Lekki,Nigeria,6.4685912,3.585096899999999,,,,,False
86,Arravo,Other,Lagos,Nigeria,6.440947299999999,3.4498844,https://www.arravo.co/,,+234 803 227 9851,,False
87,Aura Cosmetics,Other,Lagos,Nigeria,6.4537229,3.389714,,,+234 817 752 0987,,False
88,Protea Hotel Lagos Kuramo Waters,Accommodation,Lagos,Nigeria,6.4247087,3.4388805,https://www.marriott.com/en-us/hotels/lospk-protea-hotel-lagos-kuramo-waters/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,+234 705 301 0436,,False
89,Aura Lounge and Espresso Bar,Event Management,Kigali,Rwanda,-1.9515491,30.0691703,,,+250 791 689 996,,False
90,Aura Cosmetics rwanda,Other,Kigali,Rwanda,-1.9460701,30.0588529,,,+250 787 687 140,,False
91,Omali São Tomé,Other,São Tomé,São Tomé and Príncipe,0.3611826,6.714131399999999,https://www.principecollection.com/en/hotels/omali,,+239 980 2595,,False
92,AURATECH Sénégal SARL,Other,Dakar,Senegal,14.7220123,-17.4690685,https://www.linkedin.com/company/auratechsenegal,,+221 77 792 00 55,,False
93,AGORA Dakar,Other,Dakar,Senegal,14.7017534,-17.468919,http://www.agora-center.com/,,+221 33 824 46 89,,False
94,Pillay R Group,Other,Victoria,Seychelles,-4.651187500000001,55.4856875,https://pillayrgroup.com/,,+248 2 800 041,,False
95,Empower Africa Business Center,Other,Freetown,Sierra Leone,8.490985499999999,-13.2348555,http://www.empowerafrica.com/,,+232 76 599201,,False
96,Aurora Foundation,Other,Freetown,Sierra Leone,8.4861086,-13.2657577,http://www.aurorafoundation.is/,,+232 79 728574,,False
97,AURA,Other,Johannesburg,South Africa,-26.1317345,28.0692453,https://aura.services/,,+27 11 568 4268,,False
98,AuraVera South Africa,Other,Pretoria,South Africa,-25.6958705,28.2183871,,,+27 82 386 4157,,False
99,Aura Host,Other,Cape Town,South Africa,-33.9070041,18.4225974,https://aurahost.co.za/,,+27 28 316 1973,,False
100,Aura Group Business Solutions (Pty) Ltd,Other,Cape Town,South Africa,-33.88057610000001,18.5055186,http://auragroup.co.za/,,+27 71 468 0955,,False
101,Aura Link Building,Other,Cape Town,South Africa,-33.9069743,18.4186257,https://www.auralinkbuilding.com/,,+27 79 243 2177,,False
102,Aura Building and Design Concepts,Creative Industries,Cape Town,South Africa,-34.1041849,18.8563216,http://www.aurabdc.co.za/,,+27 79 934 4743,,False
103,Aura Host,Other,Vermont,South Africa,-34.4129288,19.1532083,http://www.aurahost.co.za/,,+27 28 316 1973,,False
104,Aura,Other,Cape Town,South Africa,-33.9182723,18.4185418,,,,,False
105,Aura Wellness SA,Health & Wellbeing,Cape Town,South Africa,-34.0783714,18.86115,,,+27 82 492 2351,,False
106,Aura Design,Creative Industries,Vermont,South Africa,-34.4129288,19.1532083,http://www.auradesign.co.za/,,+27 28 316 1973,,False
107,Aurras Group,Other,Cape Town,South Africa,-33.8150308,18.5524498,,,+27 21 555 3959,,False
108,Aurora Wellbeing,Other,Cape Town,South Africa,-33.9373341,18.4091726,http://www.aurorawellbeing.co.za/,,+27 71 602 3486,,False
109,Aura Water,Other,Cape Town,South Africa,-34.0015494,18.5220574,,,+27 78 802 1980,,False
110,Africa Aura,Other,Johannesburg,South Africa,-26.0915691,28.1277662,https://www.africaaura.co.za/,,+27 69 521 5212,,False
111,The Aura,Other,Roodepoort,South Africa,-26.0550755,27.9489863,https://reeflords.co.za/developments/the-aura/,,+27 11 363 7858,,False
112,Aura & Growth,Health & Wellbeing,Randburg,South Africa,-26.0912709,28.0071037,https://654cc210980a6.site123.me/,,+27 81 416 0221,,False
113,Aura At Caviar Corner,Health & Wellbeing,Johannesburg,South Africa,-26.1499549,28.0261767,http://www.auraskincare.co.za/,,+27 71 889 8572,,False
114,Aura Aluminium and Glass,Other,Johannesburg,South Africa,-26.2163619,28.0494529,http://www.auraaluminium.co.za/,,+27 11 334 2251,,False
115,Aura Motors,Other,Johannesburg,South Africa,-26.0915576,28.1278109,https://www.auramotors.co.za/,,+27 69 521 5212,,False
116,AURUM Restaurant,Other,Sandton,South Africa,-26.1042338,28.0555375,http://www.aurumrestaurant.co.za/,,+27 76 471 1489,,False
117,AURORA,Other,Johannesburg,South Africa,-26.200699,28.04338,,,+27 11 616 1000,,False
118,ARUA SECURITY GUARDS DODOMA,Other,Dodoma,Tanzania,-6.177687499999999,35.7519375,http://aruasecurityguards.co.tz/,,+255 656 829 904,,False
119,+255,Other,Dodoma,Tanzania,-6.177971,35.764835,,,,,False
120,Aura Suites,Other,Dar es Salaam,Tanzania,-6.814035100000001,39.2773796,https://www.aurasuites.co.tz/,,+255 746 941 889,,False
121,Aura Gems And Jewellery,Other,Dar es Salaam,Tanzania,-6.8193785,39.2836346,https://www.instagram.com/auragemsjewellery?igsh=MWY1dmo5Z2tzZncwdg==,,+255 713 285 330,,False
122,Aura Space,Health & Wellbeing,Nyamanzi,Tanzania,-6.2764663,39.252512,http://book.aura-space.com/,,+255 654 828 976,,False
123,Vijana Mall,Other,Dar es Salaam,Tanzania,-6.8140301,39.2776165,https://m.facebook.com/AuraMallTanzania/?ref=page_internal&mt_nav=1,,+255 22 277 4253,,False
124,Zanzibar Auras Tours,Other,Zanzibar,Tanzania,-6.218592399999999,39.2203799,http://www.zaurastour.com/,,+255 773 800 022,,False
125,Aurora Boutique Hotel Jambiani,Accommodation,Jambiani,Tanzania,-6.3337841,39.5498806,https://www.aurorazanzibar.com/,,+255 777 230 948,,False
126,Aura Ra - MB Homes,Other,Paje,Tanzania,-6.248937499999999,39.5341875,https://mbhomes.tz/,,+255 775 500 227,,False
127,Aurora Boutique Hotel & Restaurant,Accommodation,ZANZIBAR,Tanzania,-6.334094299999999,39.5500255,http://www.aurorazanzibar.com/,,+255 777 230 948,,False
128,AURA HOUSE ZANZIBAR,Other,Zanzibar,Tanzania,-6.2401377,39.2204477,,,,,False
129,Aurora Hotel Nungwi,Accommodation,Zanzibar,Tanzania,-5.7232702,39.2987563,http://www.aurorahotelnungwi.com/,,+255 715 970 176,,False
130,Villa Aura,Accommodation,Paje,Tanzania,-6.256562499999999,39.5278125,https://www.airbnb.com/rooms/1307015282634070372?source_impression_id=p3_1740501109_P3i4J9MEWyKzKGNK,,,,False
131,Hotel Aurore / Restaurant / Bar,Accommodation,Lomé,Togo,6.1332444,1.2498504,,,+228 22 21 05 17,,False
132,OURA Shop,Other,Lomé,Togo,6.196727399999999,1.1827697,,,+228 93 37 19 26,,False
133,Aura Café Tunis,Other,Tunis,Tunisia,36.8016819,10.1827856,,,,,False
134,By Aura,Other,Marsa,Tunisia,36.8795289,10.3327183,https://byaurartw.com/,,+216 71 775 434,,False
135,Aura electronic,Other,,Tunisia,36.8423007,10.0096964,http://www.aura-electronic.com/,,+216 98 332 568,,False
136,"Aura by Nadia Othmani, Personal branding strategist & Consultante en communication",Health & Wellbeing,Tunis 1053,Tunisia,36.836525,10.2335072,http://nadiaothmani.com/,,+216 54 442 844,,False
137,L'AURA,Other,Tunis,Tunisia,36.742285,10.1997442,https://vetemements.tijarati.tn/product/3653/t-shirt-coton-pour-femme/,,+216 51 051 271,,False
138,Aura pastryshop,Other,Marsa,Tunisia,36.877091,10.3164438,https://www.facebook.com/profile.php?id=61553309956240,,+216 25 665 877,,False
139,Aura Cosmetics tn,Other,Sousse,Tunisia,35.8380306,10.6288605,https://www.facebook.com/groups/844399455743032,,+216 54 447 006,,False
140,AURA Cafe Lounge,Event Management,Monastir,Tunisia,35.7658933,10.8277778,,,+216 55 284 629,,False
141,Aurum Dates | Deglet Nour Exporter | Tunisian Dates,Other,Tunis,Tunisia,36.8468541,10.195838,,,+216 28 330 301,,False
142,Aura Lounge,Event Management,Kampala,Uganda,0.3329098,32.5868314,,,+256 708 901993,,False
143,Aura Uganda,Other,Kampala,Uganda,0.3082499,32.5601969,,,+256 706 115045,,False
144,AURA APARTMENTS,Creative Industries,Kampala,Uganda,0.3340159,32.5900442,,,,,False
145,AURA_SHOPUG,Other,Kampala,Uganda,0.3230768,32.5750353,,,+256 754 798635,,False
146,AUROUS,Other,Kampala,Uganda,0.328668,32.6021647,,,+256 777 353347,,False
147,AURORA BAR,Other,Kampala,Uganda,0.3583041,32.6168248,,,+256 704 308031,,False
148,Aura Innovation ltd,Other,Lusaka,Zambia,-15.3947152,28.3083832,https://aurainnovationltd.com/,,+260 97 4018157,,False
149,AURA Group (Pvt) Ltd,Other,Harare,Zimbabwe,-17.7823759,31.1191705,http://www.auragroup.co.zw/,,+263 24 2444601,,False
150,AURA’S CLOSET,Other,Harare,Zimbabwe,-17.821769,31.0449499,,,+263 71 627 5145,,False
151,Aura Paints,Other,Harare,Zimbabwe,-17.867269,31.0180951,http://www.aurazim.com/,,+263 78 728 7287,,False
152,Brainwest Investments t/a Aurora Energy,Other,Harare,Zimbabwe,-17.7890949,31.0628337,http://www.auroraenergy.co.zw/,,+263 77 168 3662,,False
153,Pure Africa,Other,Victoria Falls,Zimbabwe,-17.9272411,25.8375271,http://pure.africa/,,+263 77 789 2937,,False
154,Somproperty Construction & Real Estate,Cities & Developments,Hargeysa,Somalia,9.5549689,44.0463662,http://www.somproperty.com/,,+252 63 6000092,,False
155,ALI GOBANIMO BUSINESS CENTER,Other,Hargeisa,Somalia,9.5630934,44.0588403,,,+252 63 3050522,,False
156,Al Nuur Furniture,Other,Hargeisa,Somalia,9.5718781,44.059289,,,+252 63 4834900,,False
157,Oriental general trading enterprise . Hargeisa somaliland,Other,Hargeisa,Somalia,9.5631255,44.0688459,,,+252 63 4160114,,False
158,BARAAR HOTEL,Accommodation,Hargeisa,Somalia,9.564663999999999,44.041247,http://www.baraarhotel.com/,,+252 63 6000052,,False
159,AURA Wellness Yerevan,Health & Wellbeing,Yerevan,Armenia,40.1844344,44.5126684,http://facebook.com/AURAinYerevan,,+374 98 897575,,False
160,Aurora Baréalisse Marketing & Branding,Other,Yerevan,Armenia,40.204118,44.49366610000001,https://www.behance.net/aurorabarealisse,,+374 96 901177,,False
161,AVRA,Other,Yerevan,Armenia,40.1818859,44.5165209,,,+374 41 777740,,False
162,Aura Azərbaycan MMC,Other,Bakı,Azerbaijan,40.3943194,49.8403684,,,+994 55 779 68 94,,False
163,AURA INSHAAT,Other,Baku,Azerbaijan,40.405815,49.8660408,https://aurainshaat.az/,,+994 12 465 05 48,,False
164,AURA INSHAAT,Other,Bakı,Azerbaijan,40.4255526,49.8787648,https://aurainshaat.az/,,+994 12 514 38 84,,False
165,Luxe Aura,Health & Wellbeing,Bakı,Azerbaijan,40.3891576,49.8540145,,,,,False
166,Aura Arts Centre,Health & Wellbeing,Manama,Bahrain,26.2188458,50.5826039,http://www.auraartscentre.com/,,+973 3310 5511,,False
167,Aura Massage & Spa - Arch Hotel,Health & Wellbeing,Manama,Bahrain,26.2198624,50.6100643,https://auraspa.bh/,,+973 3652 0655,,False
168,Aurora,Other,المنامة,Bahrain,26.215884,50.5987573,https://aurorabh.net/,,+973 3446 7432,,False
169,Aura Spa - Crystal Palace,Health & Wellbeing,Manama,Bahrain,26.221152,50.6090979,https://auraspa.bh/,,+973 3872 2722,,False
170,Aurora,Other,Manama,Bahrain,26.2321781,50.5358964,,,+973 3446 7432,,False
171,Aura IT,Other,ঢাকা,Bangladesh,23.7778738,90.4117129,,,+880 1400-335356,,False
172,Aura Beauty Lounge ~ Shiddheshwari,Health & Wellbeing,Dhaka,Bangladesh,23.7419634,90.4099778,http://www.aurabd.com/,,+880 1799-255555,,False
173,Aura,Other,Dhaka,Bangladesh,23.7814048,90.4173903,,,+880 9678-777454,,False
174,Aura Thai Saloon & Beauty Care,Health & Wellbeing,Dhaka,Bangladesh,23.7631316,90.43064609999999,http://aurasaloon.com/,,+880 1400-335354,,False
175,AURA SOLUTIONS BD,Other,Dhaka,Bangladesh,23.828248,90.36455,http://www.aurasolutionsbd.com/,,+880 1709-871891,,False
176,Aura architects,Other,ঢাকা,Bangladesh,23.7556425,90.3726746,,,+880 1671-057766,,False
177,ORA Event,Other,Thimphu,Bhutan,27.4788016,89.63206799999999,http://www.oraevent.com/,,+975 77 30 18 43,,False
178,Asura Hotel,Accommodation,Simtokha,Bhutan,27.4408651,89.662922,http://www.asurahotel.com/,,+975 77 41 64 55,,False
179,THE PEMA BY REALM,Health & Wellbeing,Thimphu,Bhutan,27.4756708,89.6270973,http://www.realmbhutan.com/,,+975 2 338 888,,False
180,Aura by TienSing,Other,Bandar Seri Begawan,Brunei,4.9109767,114.9243443,https://linktr.ee/aura.plantbased,,+673 823 5454,,False
181,Rawatan Tradisional Nur Aura,Health & Wellbeing,Bandar Seri Begawan,Brunei,4.9394024,114.9381374,https://m.facebook.com/ESTABLISMEN.KECANTIKAN.KESIHATAN.NURAURA.SDN.BHD/,,+673 884 1199,,False
182,AURA - Phnom Penh,Other,Phnom Penh,Cambodia,11.5531246,104.9297785,https://aura-phnompenh.weeblysite.com/,,+855 98 663 389,,False
183,Aura Condominium,Cities & Developments,Phnom Penh,Cambodia,11.5653393,104.9215207,http://www.auracondominium.com/,,+855 61 721 552,,False
184,AURA Hostel & Bar Siem Reap,Other,Krong Siem Reap,Cambodia,13.3571068,103.8479282,,,+855 92 648 462,,False
185,Angkor Aurora,Other,Krong Siem Reap,Cambodia,13.3527802,103.8593274,https://angkoraurora.com/,,+855 61 766 755,,False
186,Royal Angkor Resort,Accommodation,Krong Siem Reap,Cambodia,13.3802875,103.8296441,http://www.royalangkorresort.com/,,+855 63 767 555,,False
187,Aura,Other,,China,39.929761,116.447259,,,,,False
188,Aura,Other,,China,31.2369025,121.5013398,,,+86 21 2020 1888,,False
189,AURA Lounge and Jazz Bar,Event Management,,China,31.234577,121.507687,,,+86 21 2020 1717,,False
190,Aura,Other,,China,31.226956,121.44386,,,+86 21 6253 2779,,False
191,AURA,Other,,China,31.2114815,121.4543201,,,+86 21 3461 7159,,False
192,"Shanghai AURORA Furniture Co.,Ltd.",Other,,China,31.1884592,121.4397016,https://www.aurora.com.cn/of/,,,,False
193,"Shanghai Aurora International Trading Co.,Ltd.",Other,,China,31.2280679,121.4543503,,,,,False
194,AURORA,Other,,China,31.218842,121.464224,,,,,False
195,Aura,Other,Guang Zhou Shi,China,23.091127,113.263162,,,,,False
196,Aura Wellness Studio,Health & Wellbeing,Lefkoşa,Cyprus,35.140081,33.3357764,https://www.facebook.com/aurastudiocy,,+357 99 385875,,False
197,Aura-Soma Cyprus,Health & Wellbeing,BL2,Cyprus,35.15143279999999,33.4126644,https://seedoflife.cy/,,+357 99 013243,,False
198,AURA,Health & Wellbeing,Nicosia,Cyprus,35.1622165,33.3738134,,,,,False
199,"Hotel Aura, Tbilisi, Georgia - Didi Dighomi",Accommodation,T'bilisi,Georgia,41.7871706,44.7566797,,,+995 511 10 10 21,,False
200,აურა - Aura Restaurant,Other,T'bilisi,Georgia,41.7872526,44.7566692,https://www.facebook.com/%E1%83%90%E1%83%A3%E1%83%A0%E1%83%90-%E1%83%93%E1%83%98%E1%83%A6%E1%83%9D%E1%83%9B%E1%83%A8%E1%83%98-Aura-in-Dighomi-102985561450455,,+995 511 10 10 20,,False
201,Aura Plaza Hotel,Accommodation,T'bilisi,Georgia,41.6880242,44.8132753,,,+995 558 76 27 72,,False
202,Hotel Aura,Accommodation,T'bilisi,Georgia,41.7559711,44.7889112,,,+995 551 96 66 66,,False
203,AURA Tbilisi Living,Other,T'bilisi,Georgia,41.7319673,44.7690916,,,+995 555 10 60 20,,False
204,Sheen•Aura,Creative Industries,T'bilisi,Georgia,41.7262747,44.7239848,https://www.facebook.com/shinaura.ge/,,+995 599 16 95 95,,False
205,Aura Plus,Health & Wellbeing,T'bilisi,Georgia,41.7074566,44.7668999,http://www.auraplus.ge/,,+995 557 16 79 43,,False
206,Aura Nails & Beauty • აურა ნეილს & ბიუთი,Health & Wellbeing,T'bilisi,Georgia,41.7104797,44.7571539,,,+995 595 44 33 43,,False
207,Aura commerce and industries pvt ltd,Other,New Delhi,India,28.7128687,77.03407469999999,http://aura-fmcg.com/,,+91 83838 53884,,False
208,AURA HERBAL PVT. LTD. -Third Party Cosmetics Manufacturers In India | Skincare & Personal Care Cosmetics Manufacturers,Creative Industries,Delhi,India,28.6385822,77.0738355,https://www.auraherbal.in/,,+91 99995 18235,,False
209,AURA INDIA,Other,Delhi,India,28.7346664,77.0505477,,,,,False
210,Aura Synergy India Pvt Ltd (GridSquare),Other,New Delhi,India,28.6650888,77.15850879999999,https://www.aurasynergyindia.com/,,+91 11 4141 0003,,False
